repos,repo_version,filename,services,images,ports,network,environment,volume,depend_on
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,frontend,${DOCKER_IMAGE_FRONTEND?Variable not set}-${NODE_TYPE}:${VERSION-latest},,,"['RELEASE=${RELEASE:-production}', 'NODE_TYPE=${NODE_TYPE?Variable not set}', 'VERSION=${VERSION}', 'VERSION_HASH=${VERSION_HASH}']",,
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,db,postgres:12,,,['RELEASE=${RELEASE:-production}'],['app-db-data:/var/lib/postgresql/data'],
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,queue,rabbitmq:3,,,['RELEASE=${RELEASE:-production}'],['./rabbitmq/rabbitmq.conf:/etc/rabbitmq/rabbitmq.conf'],
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,backend,${DOCKER_IMAGE_BACKEND?Variable not set}:${VERSION-latest},,,"['RELEASE=${RELEASE:-production}', 'VERSION=${VERSION}', 'VERSION_HASH=${VERSION_HASH}', 'NODE_TYPE=${NODE_TYPE?Variable not set}', 'DOMAIN_NAME=${DOMAIN_NAME?Variable not set}', 'STACK_API_KEY=${STACK_API_KEY}', 'PORT=8001', 'IGNORE_TLS_ERRORS=${IGNORE_TLS_ERRORS?False}']",,['db']
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,backend_stream,${DOCKER_IMAGE_BACKEND?Variable not set}:${VERSION-latest},,,"['RELEASE=${RELEASE:-production}', 'VERSION=${VERSION}', 'VERSION_HASH=${VERSION_HASH}', 'NODE_TYPE=${NODE_TYPE?Variable not set}', 'DOMAIN_NAME=${DOMAIN_NAME?Variable not set}', 'STACK_API_KEY=${STACK_API_KEY}', 'PORT=8011', 'STREAM_QUEUE=1', 'IGNORE_TLS_ERRORS=${IGNORE_TLS_ERRORS?False}']",,"['db', 'backend']"
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,celeryworker,${DOCKER_IMAGE_BACKEND?Variable not set}:${VERSION-latest},,,"['RELEASE=${RELEASE:-production}', 'VERSION=${VERSION}', 'VERSION_HASH=${VERSION_HASH}', 'NODE_TYPE=${NODE_TYPE?Variable not set}', 'DOMAIN_NAME=${DOMAIN_NAME?Variable not set}', 'C_FORCE_ROOT=1', 'STACK_API_KEY=${STACK_API_KEY}', 'IGNORE_TLS_ERRORS=${IGNORE_TLS_ERRORS?False}']",,"['db', 'queue']"
OpenMined/PySyft,latest,/packages/grid/docker-compose.yml,headscale,${DOCKER_IMAGE_HEADSCALE?Variable not set}:${VERSION-latest},['4000'],,"['RELEASE=${RELEASE:-production}', 'NETWORK_NAME=omnet', 'STACK_API_KEY=$STACK_API_KEY']",['headscale-data:/headscale/data'],
OpenMined/PySyft,latest,/packages/grid/docker-compose.test.yml,tailscale,,,,,['./tls/rootCA.pem:/usr/local/share/ca-certificates/rootCA.pem'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mariadb-10-7,mariadb:10.7,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mariadb-10-5-5,mariadb:10.5.5,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mariadb-10-3,mariadb:10.3,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mariadb-10-2,mariadb:10.2,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mariadb-10-1,mariadb:10.1,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.mariadb.yml,mysql,mysql:8,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.ci.yml,photoprism,photoprism/photoprism:develop,,,"{'PHOTOPRISM_SITE_URL': 'http://localhost:2342/', 'PHOTOPRISM_SITE_TITLE': 'PhotoPrism', 'PHOTOPRISM_SITE_CAPTION': 'Browse Your Life', 'PHOTOPRISM_SITE_DESCRIPTION': 'Open-Source Photo Management', 'PHOTOPRISM_SITE_AUTHOR': '@photoprism_app', 'PHOTOPRISM_DEBUG': 'false', 'PHOTOPRISM_READONLY': 'false', 'PHOTOPRISM_PUBLIC': 'true', 'PHOTOPRISM_PID_FILENAME': 'photoprism.pid', 'PHOTOPRISM_LOG_FILENAME': 'photoprism.log', 'PHOTOPRISM_DETACH_SERVER': 'true', 'PHOTOPRISM_HTTP_HOST': '0.0.0.0', 'PHOTOPRISM_HTTP_PORT': 2342, 'PHOTOPRISM_HTTP_COMPRESSION': 'gzip', 'PHOTOPRISM_DATABASE_DRIVER': 'mysql', 'PHOTOPRISM_DATABASE_SERVER': 'mariadb:4001', 'PHOTOPRISM_DATABASE_NAME': 'photoprism', 'PHOTOPRISM_DATABASE_USER': 'root', 'PHOTOPRISM_DATABASE_PASSWORD': 'photoprism', 'PHOTOPRISM_TEST_DRIVER': 'sqlite', 'PHOTOPRISM_TEST_DSN': '.test.db', 'PHOTOPRISM_ADMIN_PASSWORD': 'photoprism', 'PHOTOPRISM_ASSETS_PATH': '/go/src/github.com/photoprism/photoprism/assets', 'PHOTOPRISM_STORAGE_PATH': '/go/src/github.com/photoprism/photoprism/storage', 'PHOTOPRISM_ORIGINALS_PATH': '/go/src/github.com/photoprism/photoprism/storage/originals', 'PHOTOPRISM_IMPORT_PATH': '/go/src/github.com/photoprism/photoprism/storage/import', 'PHOTOPRISM_DISABLE_CHOWN': 'true', 'PHOTOPRISM_DISABLE_BACKUPS': 'false', 'PHOTOPRISM_DISABLE_WEBDAV': 'false', 'PHOTOPRISM_DISABLE_SETTINGS': 'false', 'PHOTOPRISM_DISABLE_PLACES': 'false', 'PHOTOPRISM_DISABLE_EXIFTOOL': 'false', 'PHOTOPRISM_DISABLE_TENSORFLOW': 'false', 'PHOTOPRISM_DETECT_NSFW': 'false', 'PHOTOPRISM_UPLOAD_NSFW': 'false', 'PHOTOPRISM_DARKTABLE_PRESETS': 'false', 'PHOTOPRISM_THUMB_FILTER': 'lanczos', 'PHOTOPRISM_THUMB_UNCACHED': 'true', 'PHOTOPRISM_THUMB_SIZE': 2048, 'PHOTOPRISM_THUMB_SIZE_UNCACHED': 7680, 'PHOTOPRISM_JPEG_SIZE': 7680, 'PHOTOPRISM_JPEG_QUALITY': 92, 'CODECOV_TOKEN': None, 'CODECOV_ENV': None, 'CODECOV_URL': None, 'CODECOV_SLUG': None, 'VCS_COMMIT_ID': None, 'VCS_BRANCH_NAME': None, 'VCS_PULL_REQUEST': None, 'VCS_SLUG': None, 'VCS_TAG': None, 'CI_BUILD_URL': None, 'CI_BUILD_ID': None, 'CI_JOB_ID': None, 'CI': None, 'DRONE': None, 'DRONE_BRANCH': None, 'DRONE_BUILD_ACTION': None, 'DRONE_BUILD_CREATED': None, 'DRONE_BUILD_EVENT': None, 'DRONE_BUILD_FINISHED': None, 'DRONE_BUILD_NUMBER': None, 'DRONE_BUILD_PARENT': None, 'DRONE_BUILD_STARTED': None, 'DRONE_BUILD_STATUS': None, 'DRONE_CALVER': None, 'DRONE_COMMIT': None, 'DRONE_COMMIT_AFTER': None, 'DRONE_COMMIT_AUTHOR': None, 'DRONE_COMMIT_AUTHOR_AVATAR': None, 'DRONE_COMMIT_AUTHOR_EMAIL': None, 'DRONE_COMMIT_AUTHOR_NAME': None, 'DRONE_COMMIT_BEFORE': None, 'DRONE_COMMIT_BRANCH': None, 'DRONE_COMMIT_LINK': None, 'DRONE_COMMIT_MESSAGE': None, 'DRONE_COMMIT_REF': None, 'DRONE_COMMIT_SHA': None, 'DRONE_DEPLOY_TO': None, 'DRONE_FAILED_STAGES': None, 'DRONE_FAILED_STEPS': None, 'DRONE_GIT_HTTP_URL': None, 'DRONE_GIT_SSH_URL': None, 'DRONE_PULL_REQUEST': None, 'DRONE_REMOTE_URL': None, 'DRONE_REPO': None, 'DRONE_REPO_BRANCH': None, 'DRONE_REPO_LINK': None, 'DRONE_REPO_NAME': None, 'DRONE_REPO_NAMESPACE': None, 'DRONE_REPO_OWNER': None, 'DRONE_REPO_PRIVATE': None, 'DRONE_REPO_SCM': None, 'DRONE_REPO_VISIBILITY': None, 'DRONE_SEMVER': None, 'DRONE_SEMVER_BUILD': None, 'DRONE_SEMVER_ERROR': None, 'DRONE_SEMVER_MAJOR': None, 'DRONE_SEMVER_MINOR': None, 'DRONE_SEMVER_PATCH': None, 'DRONE_SEMVER_PRERELEASE': None, 'DRONE_SEMVER_SHORT': None, 'DRONE_SOURCE_BRANCH': None, 'DRONE_STAGE_ARCH': None, 'DRONE_STAGE_DEPENDS_ON': None, 'DRONE_STAGE_FINISHED': None, 'DRONE_STAGE_KIND': None, 'DRONE_STAGE_MACHINE': None, 'DRONE_STAGE_NAME': None, 'DRONE_STAGE_NUMBER': None, 'DRONE_STAGE_OS': None, 'DRONE_STAGE_STARTED': None, 'DRONE_STAGE_STATUS': None, 'DRONE_STAGE_TYPE': None, 'DRONE_STAGE_VARIANT': None, 'DRONE_STEP_NAME': None, 'DRONE_STEP_NUMBER': None, 'DRONE_SYSTEM_HOST': None, 'DRONE_SYSTEM_HOSTNAME': None, 'DRONE_SYSTEM_PROTO': None, 'DRONE_SYSTEM_VERSION': None, 'DRONE_TAG': None, 'DRONE_TARGET_BRANCH': None}","['~/.cache/npm:/root/.cache/npm', '~/.cache/go-mod:/go/pkg/mod']","['mariadb', 'dummy-webdav']"
photoprism/photoprism,latest,/docker-compose.ci.yml,mariadb,mariadb:10.6,,,"{'MYSQL_ROOT_PASSWORD': 'photoprism', 'MYSQL_USER': 'photoprism', 'MYSQL_PASSWORD': 'photoprism', 'MYSQL_DATABASE': 'photoprism'}",['./scripts/sql/mariadb-init.sql:/docker-entrypoint-initdb.d/init.sql'],
photoprism/photoprism,latest,/docker-compose.ci.yml,dummy-webdav,photoprism/dummy-webdav:20211109,,,"{'WEBDAV_USERNAME': 'admin', 'WEBDAV_PASSWORD': 'photoprism'}",,
photoprism/photoprism,latest,/docker-compose.postgres.yml,photoprism,photoprism/photoprism:develop,"['2342:2342', '2343:2343']",,"{'PHOTOPRISM_SITE_URL': 'http://localhost:2342/', 'PHOTOPRISM_SITE_TITLE': 'PhotoPrism', 'PHOTOPRISM_SITE_CAPTION': 'Browse Your Life', 'PHOTOPRISM_SITE_DESCRIPTION': 'Open-Source Photo Management', 'PHOTOPRISM_SITE_AUTHOR': '@photoprism_app', 'PHOTOPRISM_DEBUG': 'true', 'PHOTOPRISM_READONLY': 'false', 'PHOTOPRISM_PUBLIC': 'true', 'PHOTOPRISM_EXPERIMENTAL': 'true', 'PHOTOPRISM_SERVER_MODE': 'debug', 'PHOTOPRISM_HTTP_HOST': '0.0.0.0', 'PHOTOPRISM_HTTP_PORT': 2342, 'PHOTOPRISM_HTTP_COMPRESSION': 'gzip', 'PHOTOPRISM_DATABASE_DRIVER': 'postgres', 'PHOTOPRISM_DATABASE_SERVER': 'postgres:5432', 'PHOTOPRISM_DATABASE_NAME': 'photoprism', 'PHOTOPRISM_DATABASE_USER': 'photoprism', 'PHOTOPRISM_DATABASE_PASSWORD': 'photoprism', 'PHOTOPRISM_TEST_DRIVER': 'sqlite', 'PHOTOPRISM_TEST_DSN': '.test.db', 'PHOTOPRISM_ADMIN_PASSWORD': 'photoprism', 'PHOTOPRISM_ASSETS_PATH': '/go/src/github.com/photoprism/photoprism/assets', 'PHOTOPRISM_STORAGE_PATH': '/go/src/github.com/photoprism/photoprism/storage', 'PHOTOPRISM_ORIGINALS_PATH': '/go/src/github.com/photoprism/photoprism/storage/originals', 'PHOTOPRISM_IMPORT_PATH': '/go/src/github.com/photoprism/photoprism/storage/import', 'PHOTOPRISM_DISABLE_BACKUPS': 'false', 'PHOTOPRISM_DISABLE_WEBDAV': 'false', 'PHOTOPRISM_DISABLE_SETTINGS': 'false', 'PHOTOPRISM_DISABLE_PLACES': 'false', 'PHOTOPRISM_DISABLE_EXIFTOOL': 'false', 'PHOTOPRISM_DISABLE_TENSORFLOW': 'false', 'PHOTOPRISM_DETECT_NSFW': 'false', 'PHOTOPRISM_UPLOAD_NSFW': 'false', 'PHOTOPRISM_DARKTABLE_PRESETS': 'false', 'PHOTOPRISM_THUMB_FILTER': 'lanczos', 'PHOTOPRISM_THUMB_UNCACHED': 'true', 'PHOTOPRISM_THUMB_SIZE': 2048, 'PHOTOPRISM_THUMB_SIZE_UNCACHED': 7680, 'PHOTOPRISM_JPEG_SIZE': 7680, 'PHOTOPRISM_JPEG_QUALITY': 92, 'TF_CPP_MIN_LOG_LEVEL': 0}","['.:/go/src/github.com/photoprism/photoprism', 'go-mod:/go/pkg/mod']","['postgres', 'dummy-webdav']"
photoprism/photoprism,latest,/docker-compose.postgres.yml,postgres,postgres:12-alpine,['5432:5432'],,"{'POSTGRES_DB': 'photoprism', 'POSTGRES_USER': 'photoprism', 'POSTGRES_PASSWORD': 'photoprism'}",,
photoprism/photoprism,latest,/docker-compose.postgres.yml,dummy-webdav,photoprism/dummy-webdav:20211109,,,"{'WEBDAV_USERNAME': 'admin', 'WEBDAV_PASSWORD': 'photoprism'}",,
photoprism/photoprism,latest,/docker-compose.latest.yml,photoprism-latest,photoprism/photoprism:latest,['2344:2342'],,"{'PHOTOPRISM_UID': '${UID:-1000}', 'PHOTOPRISM_GID': '${GID:-1000}', 'PHOTOPRISM_ADMIN_PASSWORD': 'photoprism', 'PHOTOPRISM_SITE_URL': 'https://photoprism-latest.traefik.net/', 'PHOTOPRISM_SITE_TITLE': 'PhotoPrism', 'PHOTOPRISM_SITE_CAPTION': 'Browse Your Life', 'PHOTOPRISM_SITE_DESCRIPTION': 'Open-Source Photo Management', 'PHOTOPRISM_SITE_AUTHOR': '@photoprism_app', 'PHOTOPRISM_DEBUG': 'true', 'PHOTOPRISM_READONLY': 'false', 'PHOTOPRISM_PUBLIC': 'true', 'PHOTOPRISM_EXPERIMENTAL': 'false', 'PHOTOPRISM_SERVER_MODE': 'debug', 'PHOTOPRISM_HTTP_HOST': '0.0.0.0', 'PHOTOPRISM_HTTP_PORT': 2342, 'PHOTOPRISM_HTTP_COMPRESSION': 'gzip', 'PHOTOPRISM_DATABASE_DRIVER': 'mysql', 'PHOTOPRISM_DATABASE_SERVER': 'mariadb:4001', 'PHOTOPRISM_DATABASE_NAME': 'latest', 'PHOTOPRISM_DATABASE_USER': 'root', 'PHOTOPRISM_DATABASE_PASSWORD': 'photoprism', 'PHOTOPRISM_DISABLE_CHOWN': 'false', 'PHOTOPRISM_DISABLE_BACKUPS': 'false', 'PHOTOPRISM_DISABLE_WEBDAV': 'false', 'PHOTOPRISM_DISABLE_SETTINGS': 'false', 'PHOTOPRISM_DISABLE_PLACES': 'false', 'PHOTOPRISM_DISABLE_EXIFTOOL': 'false', 'PHOTOPRISM_DISABLE_TENSORFLOW': 'false', 'PHOTOPRISM_DETECT_NSFW': 'false', 'PHOTOPRISM_UPLOAD_NSFW': 'false', 'PHOTOPRISM_DARKTABLE_PRESETS': 'false', 'PHOTOPRISM_THUMB_FILTER': 'lanczos', 'PHOTOPRISM_THUMB_UNCACHED': 'true', 'PHOTOPRISM_THUMB_SIZE': 2048, 'PHOTOPRISM_THUMB_SIZE_UNCACHED': 7680, 'PHOTOPRISM_JPEG_SIZE': 7680, 'PHOTOPRISM_JPEG_QUALITY': 92, 'TF_CPP_MIN_LOG_LEVEL': 0}","['./storage/latest:/photoprism/storage', './storage/originals:/photoprism/originals']",
photoprism/photoprism,latest,/docker-compose.yml,traefik,photoprism/traefik:20211218,['443:443'],,,['/var/run/docker.sock:/var/run/docker.sock'],
photoprism/photoprism,latest,/docker-compose.yml,photoprism,photoprism/photoprism:develop,"['2342:2342', '2343:2343', '40000:40000']",,"{'GOPROXY': 'https://proxy.golang.org,direct', 'PHOTOPRISM_UID': '${UID:-1000}', 'PHOTOPRISM_GID': '${GID:-1000}', 'PHOTOPRISM_ADMIN_PASSWORD': 'photoprism', 'PHOTOPRISM_SITE_URL': 'https://photoprism.traefik.net/', 'PHOTOPRISM_SITE_TITLE': 'PhotoPrism', 'PHOTOPRISM_SITE_CAPTION': 'Browse Your Life', 'PHOTOPRISM_SITE_DESCRIPTION': 'AI-Powered Photos App. Tags and finds pictures without getting in your way!', 'PHOTOPRISM_SITE_AUTHOR': '@photoprism_app', 'PHOTOPRISM_DEBUG': 'true', 'PHOTOPRISM_READONLY': 'false', 'PHOTOPRISM_PUBLIC': 'true', 'PHOTOPRISM_EXPERIMENTAL': 'true', 'PHOTOPRISM_SERVER_MODE': 'debug', 'PHOTOPRISM_HTTP_HOST': '0.0.0.0', 'PHOTOPRISM_HTTP_PORT': 2342, 'PHOTOPRISM_HTTP_COMPRESSION': 'gzip', 'PHOTOPRISM_DATABASE_DRIVER': 'mysql', 'PHOTOPRISM_DATABASE_SERVER': 'mariadb:4001', 'PHOTOPRISM_DATABASE_NAME': 'photoprism', 'PHOTOPRISM_DATABASE_USER': 'root', 'PHOTOPRISM_DATABASE_PASSWORD': 'photoprism', 'PHOTOPRISM_TEST_DRIVER': 'sqlite', 'PHOTOPRISM_TEST_DSN': '.test.db', 'PHOTOPRISM_ASSETS_PATH': '/go/src/github.com/photoprism/photoprism/assets', 'PHOTOPRISM_STORAGE_PATH': '/go/src/github.com/photoprism/photoprism/storage', 'PHOTOPRISM_ORIGINALS_PATH': '/go/src/github.com/photoprism/photoprism/storage/originals', 'PHOTOPRISM_IMPORT_PATH': '/go/src/github.com/photoprism/photoprism/storage/import', 'PHOTOPRISM_DISABLE_CHOWN': 'false', 'PHOTOPRISM_DISABLE_BACKUPS': 'false', 'PHOTOPRISM_DISABLE_WEBDAV': 'false', 'PHOTOPRISM_DISABLE_SETTINGS': 'false', 'PHOTOPRISM_DISABLE_PLACES': 'false', 'PHOTOPRISM_DISABLE_EXIFTOOL': 'false', 'PHOTOPRISM_DISABLE_TENSORFLOW': 'false', 'PHOTOPRISM_DETECT_NSFW': 'false', 'PHOTOPRISM_UPLOAD_NSFW': 'false', 'PHOTOPRISM_DARKTABLE_PRESETS': 'false', 'PHOTOPRISM_THUMB_FILTER': 'lanczos', 'PHOTOPRISM_THUMB_UNCACHED': 'true', 'PHOTOPRISM_THUMB_SIZE': 2048, 'PHOTOPRISM_THUMB_SIZE_UNCACHED': 7680, 'PHOTOPRISM_JPEG_SIZE': 7680, 'PHOTOPRISM_JPEG_QUALITY': 92, 'TF_CPP_MIN_LOG_LEVEL': 0, 'PHOTOPRISM_OIDC_ISSUER_URL': 'https://keycloak.traefik.net/auth/realms/master', 'PHOTOPRISM_OIDC_CLIENT_ID': 'photoprism-develop', 'PHOTOPRISM_OIDC_CLIENT_SECRET': '9d8351a0-ca01-4556-9c37-85eb634869b9'}","['.:/go/src/github.com/photoprism/photoprism', 'go-mod:/go/pkg/mod']","['mariadb', 'dummy-webdav']"
